,barcode,url_openfoodfact,product_name,brands,brands_tags,categories,categories_tags,countries,ingredients_text,allergens_tags,serving_size,serving_quantity,additives_n,additives_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_2,states,brand_owner,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,nutriscore,additifs_Sans,ingredients_from_palm_oil_n_1,ingredients_from_palm_oil_n_2,ingredients_that_may_be_from_palm_oil_n_1,ingredients_that_may_be_from_palm_oil_n_2,pnns_groups_1_Fruits and vegetables,pnns_groups_1_Salty snacks,pnns_groups_1_unknown
2856,'41250001263,https://world-fr.openfoodfacts.org/produit/0041250001263,Baking Chips  Vanilla White,Meijer,meijer,,,United-States,Sugar  partially hydrogenated palm kernel and palm oils  milk  nonfat dry milk  soy lecithin  and artificial flavor.,en:milk en:soybeans,15 g (15 g),15,-0.2066529411438092,en:e322 en:e322i,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,533,0.8198560662138852,0.09270925326259324,23 33,0,0,66.67,-0.04462359008691314,0,0.027773615089422606,-0.41300089732455525,-0.09025146357237417,0,0,0 133,0,,False,0,0,0,0,0,0,1,0
2881,'41262278547,https://world-fr.openfoodfacts.org/produit/0041262278547,Kettle Cooked Potato Chips  Cracked Pepper,Wise   Wise Foods  Inc.,wise wise-foods-inc,,,United-States,Potatoes  vegetable oil (contains one or more of the following: corn  cottonseed  sunflower  soybean or canola oil)  salt  maltodextrin  black pepper  sugar  onion powder  vinegar powder (maltodextrin  white distilled vinegar)  citric acid  natural flavor,en:soybeans,28 g (13 CHIPS),28,-0.2066529411438092,en:e330,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.23799403803366803,7 14,0,0,53.57,-0.044624620602479126,3 6,0.07259082230160566,2.7802929172866717,-0.04460054151917972,0,0 0214,0,0 00129,,False,0,0,0,0,0,0,1,0
2899,'41268191734,https://world-fr.openfoodfacts.org/produit/0041268191734,Potato Chips  Sour Cream & Onion Artificially Flavored,Hannaford   Hannaford Bros. Co.,hannaford hannaford-bros-co,,,United-States,Potatoes  vegetable oil (contains one or more of the following: corn  cottonseed  sunflower  soybean or canola oil)  whey  salt  partially hydrogenated soybean oil  corn syrup solids  onion powder  monosodium glutamate (flavor enhancer)  spice  cheddar ch,en:milk en:soybeans,28 g (1 OUNCE (15 CHIPS)),28,-0.2066529411438092,en:e621,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.3328142723358138,8 93,0,0,50.0,-0.044624565421129636,3 6,0.07259082230160566,-0.3875315143135727,-0.05078364108840985,0,0 0214,0,0 00129,,False,0,0,0,0,0,0,1,0
2902,'41268198641,https://world-fr.openfoodfacts.org/produit/0041268198641,Potato Chips  Salt & Vinegar,Hannaford   Hannaford Bros. Co.,hannaford hannaford-bros-co,,,United-States,Potatoes  vegetable oil (contains one or more of the following: corn  sunflower  or canola oil)  maltodextrin (from corn)  sodium diacetate  salt  malic acid  citric acid  sugar  sodium citrate  potassium chloride  vinegar  modified corn starch  gum arabi,,28 g (24 CHIPS)  /  (ABOUT),28,1.3721895633504881,en:e262 en:e262ii en:e296 en:e330 en:e331,,,,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.3328142723358138,5 36,0,0,53.57,-0.044624565421129636,3 6,-0.26782924099093386,2.6460472674484032,-0.04668083670135061,0,0 0321,0,0 00129,,False,0,0,0,0,0,0,1,0
2904,'41268198665,https://world-fr.openfoodfacts.org/produit/0041268198665,Potato Chips  Barbeque,Hannaford   Hannaford Bros. Co.,hannaford hannaford-bros-co,,,United-States,Potatoes  vegetable oil (contains one or more of the following: corn  sunflower  or canola oil)  sugar  salt  dextrose  spices  monosodium glutamate  fructose  onion powder  yeast  tomato powder  extract of malted barley and corn  garlic powder  caramel c,,28 g (24 CHIPS  /  ABOUT),28,-0.2066529411438092,en:e621,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.3328142723358138,3 57,0,0,57.14,-0.04462451023978014,3 6,-0.26782924099093386,2.6460472674484032,-0.04668083670135061,0 0001071,0 0321,0,0 00129,,False,0,0,0,0,0,0,1,0
2907,'41270941020,https://world-fr.openfoodfacts.org/produit/0041270941020,Sweet Bread & Butter Chips,Iga,iga,Salted snacks,en:salted-snacks,United-States,Cucumbers  high fructose corn syrup  water  vinegar  salt  mustard seeds  onion flakes  calcium chloride  0.1% sodium benzoate (preservative)  celery seeds  and yellow 5.,en:mustard,1 ONZ (28 g),28,0.3196278936876233,en:e102 en:e211,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Iga  Inc.,en:salted-snacks,,,,,,,,89,-1.3225050496587027,-0.6156536735828484,,,,21.43,-0.04462434454116207,,-0.6082493042834733,-0.17949773716918735,-0.05755188055358744,,,,,,False,0,0,0,0,0,0,1,0
2909,'41303005316,https://world-fr.openfoodfacts.org/produit/0041303005316,Essential everyday  bread & butter chips,Essential Everyday,essential-everyday,Salted snacks,en:salted-snacks,United-States,Fresh cucumbers  high fructose corn syrup  water  vinegar  salt  spices  calcium chloride  yellow 5  natural flavors  polysorbate 80.,,1 ONZ (28 g),28,0.3196278936876233,en:e102 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Supervalu  Inc.,en:salted-snacks,,,,,,,,107,-1.234873486253796,-0.6156536735828484,,,,28.57,-0.04462423417846308,,-0.6082493042834733,-0.39582643909032483,-0.06363760847605804,,,,,,False,0,0,0,1,0,0,1,0
2910,'41303005361,https://world-fr.openfoodfacts.org/produit/0041303005361,Bread & butter chips  bread & butter,Essential Everyday,essential-everyday,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  vinegar  salt  mustard seeds  onion flakes  calcium chloride (firming agent)  sodium benzoate (preservative)  sucralose  celery seeds  xanthan gum  and yellow 5.,en:mustard,1 ONZ (28 g),28,1.3721895633504881,en:e102 en:e211 en:e415 en:e955,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Supervalu  Inc.,en:salted-snacks,,,,,,,,18,-1.664959975069983,-0.6156536735828484,,,,3.57,-0.044624620602479126,,-0.6082493042834733,-0.25804260009949515,-0.06972333639852864,,,,,,False,0,0,0,0,0,0,1,0
2911,'41303005514,https://world-fr.openfoodfacts.org/produit/0041303005514,Hamburger Dill Chips,Essential Everyday,essential-everyday,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  vinegar  salt  calcium chloride (firming agent)  sodium benzoate (preservative)  alum  natural flavors  polysorbate 80  and yellow 5.,,1 ONZ (28 g),28,0.8459087285190557,en:e102 en:e211 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Supervalu  Inc.,en:salted-snacks,,,,,,,,0,-1.751438491587983,-0.6156536735828484,,,,0.0,-0.044624620602479126,,-0.6082493042834733,0.06935000613337663,-0.018989978390642884,,,,,,False,0,0,0,1,0,0,1,0
2912,'41303005651,https://world-fr.openfoodfacts.org/produit/0041303005651,Hamburger Dill Chips,Essential Everyday,essential-everyday,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  vinegar  salt  calcium chloride (firming agent)  sodium benzoate (preservative)  alum  natural flavors  polysorbate 80  and yellow 5.,,1 ONZ (28 g),28,0.8459087285190557,en:e102 en:e211 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Supervalu  Inc.,en:salted-snacks,,,,,,,,0,-1.751438491587983,-0.6156536735828484,,,,0.0,-0.044624620602479126,,-0.6082493042834733,0.06935000613337663,-0.018989978390642884,,,,,,False,0,0,0,1,0,0,1,0
2934,'41318190229,https://world-fr.openfoodfacts.org/produit/0041318190229,Hamburger dill chips  hamburger,Schnucks,schnucks,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  vinegar  salt  alum  sodium benzoate (preservative)  calcium chloride  potassium sorbate (preservative)  natural flavors  polysorbate 80  yellow 5  blue 1.,,1 ONZ (28 g),28,1.8984703981819206,en:e102 en:e133 en:e202 en:e211 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Schnuck Markets  Inc.,en:salted-snacks,,,,,,,,0,-1.751438491587983,-0.6156536735828484,,,,0.0,-0.044624620602479126,,-0.6082493042834733,0.06935000613337663,-0.018989978390642884,,,,,,False,0,0,0,1,0,0,1,0
2935,'41318190311,https://world-fr.openfoodfacts.org/produit/0041318190311,Hamburger Dill Chips,Schnucks,schnucks,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  vinegar  salt  alum  sodium benzoate (preservative)  calcium chloride  potassium sorbate (preservative)  natural flavors  polysorbate 80  yellow 5  blue 1.,,1 ONZ (28 g),28,1.8984703981819206,en:e102 en:e133 en:e202 en:e211 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Schnuck Markets  Inc.,en:salted-snacks,,,,,,,,0,-1.751438491587983,-0.6156536735828484,,,,0.0,-0.044624620602479126,,-0.6082493042834733,0.06935000613337663,-0.018989978390642884,,,,,,False,0,0,0,1,0,0,1,0
2936,'41318191752,https://world-fr.openfoodfacts.org/produit/0041318191752,Bread & butter chips  bread & butter,Schnucks,schnucks,Salted snacks,en:salted-snacks,United-States,Fresh cucumbers  water  vinegar  salt  spices  calcium chloride  sucralose (splenda brand)  yellow 5  natural flavors  polysorbate 80. sweetened with nonnutritive sweetener.,,1 ONZ (28 g),28,0.8459087285190557,en:e102 en:e433 en:e955,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Schnuck Markets  Inc.,en:salted-snacks,,,,,,,,0,-1.751438491587983,-0.6156536735828484,,,,3.57,-0.044624620602479126,,-0.6082493042834733,-0.25804260009949515,-0.06972333639852864,,,,,,False,0,0,0,1,0,0,1,0
2937,'41318192384,https://world-fr.openfoodfacts.org/produit/0041318192384,Bread & butter chips  bread & butter,Schnucks,schnucks,Salted snacks,en:salted-snacks,United-States,Fresh cucumbers  water  high fructose corn syrup  vinegar  salt  spices  calcium chloride  yellow 5  natural flavors  polysorbate 80.,,1 ONZ (28 g),28,0.3196278936876233,en:e102 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Schnuck Markets  Inc.,en:salted-snacks,,,,,,,,89,-1.3225050496587027,-0.6156536735828484,,,,21.43,-0.04462434454116207,,-0.6082493042834733,-0.1927108916808279,-0.059599415181708394,,,,,,False,0,0,0,1,0,0,1,0
2938,'41318192407,https://world-fr.openfoodfacts.org/produit/0041318192407,Bread & butter chips  bread & butter,Schnucks,schnucks,Salted snacks,en:salted-snacks,United-States,Fresh cucumbers  high fructose corn syrup  water  vinegar  spices  calcium chloride  yellow 5  natural flavors  polysorbate 80.,,1 ONZ (28 g),28,0.3196278936876233,en:e102 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Schnuck Markets  Inc.,en:salted-snacks,,,,,,,,125,-1.148394969735796,-0.6156536735828484,,,,28.57,-0.044624178997113594,,-0.6082493042834733,-0.4154993580298786,-0.0941231240503033,,,,,,False,0,0,0,1,0,0,1,0
2988,'41497140497,https://world-fr.openfoodfacts.org/produit/0041497140497,Sweet bread & butter chips pickles,Weis Quality,weis-quality,Salted snacks,en:salted-snacks,United-States,Fresh cucumbers  water  high fructose corn syrup  vinegar  salt  spices  calcium chloride  yellow 5  natural flavors  polysorbate 80.,,1 ONZ (28 g),28,0.3196278936876233,en:e102 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,WEIS QUALITY,en:salted-snacks,,,,,,,,89,-1.3225050496587027,-0.6156536735828484,,,,21.43,-0.04462434454116207,,-0.6082493042834733,-0.1927108916808279,-0.059599415181708394,,,,,,False,0,0,0,1,0,0,1,0
2989,'41497140503,https://world-fr.openfoodfacts.org/produit/0041497140503,Hamburger dill chips pickles,Weis Quality,weis-quality,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  vinegar  salt  alum  sodium benzoate (preservative)  calcium chloride  potassium sorbate (preservative)  natural flavor  polysorbate 80  yellow 5  blue 1.,,1 ONZ (28 g),28,1.8984703981819206,en:e102 en:e133 en:e202 en:e211 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,WEIS QUALITY,en:salted-snacks,,,,,,,,0,-1.751438491587983,-0.6156536735828484,,,,0.0,-0.044624620602479126,,-0.6082493042834733,0.08256316064501719,-0.01694244376252193,,,,,,False,0,0,0,1,0,0,1,0
2990,'41497143801,https://world-fr.openfoodfacts.org/produit/0041497143801,Hot & Sweet Chips,Weis,weis,Salted snacks,en:salted-snacks,United-States,Cucumbers  high fructose corn syrup  distilled vinegar  water  salt  dehydrated peppers  dehydrated onion  calcium chloride  acetic acid  mustard seed  celery seed  yellow 5  polysorbate 80  natural spice flavor.,en:mustard,4 SLICES  PER CONTAINER USUALLY  /  ABOUT (28 g),28,0.8459087285190557,en:e102 en:e260 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,Weis Markets  Inc.,en:salted-snacks,,,,,,,,107,-1.234873486253796,-0.6156536735828484,,,,25.0,-0.04462428935981257,,-0.6082493042834733,-0.17949773716918735,-0.05755188055358744,,,,,,False,0,0,0,1,0,0,1,0
3004,'41498190392,https://world-fr.openfoodfacts.org/produit/0041498190392,Potato Chips,Clancy's,clancy-s,,,United-States,Potatoes  vegetable oil (corn  cottonseed  canola  sunflower  safflower  and/or rice)  maltodextrin  salt  citric acid  sugar  dextrose  corn syrup solids  lime juice powder  acacia gum  natural flavor.,,28 g (21 CHIPS  /  ABOUT),28,0.3196278936876233,en:e330 en:e414,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.23799403803366803,3 57,0,0,53.57,-0.044624565421129636,3 6,-0.26782924099093386,2.2470393637624397,-0.052863936270580746,0,0 0086,0,0 00129,,False,0,0,0,0,0,0,1,0
3005,'41498190408,https://world-fr.openfoodfacts.org/produit/0041498190408,Potato Chips,Clancy's,clancy-s,,,United-States,Potatoes  vegetable oil (corn  cottonseed  canola  sunflower  safflower  and/or rice)  spice (including chile red pepper)  maltodextrin  salt  corn syrup solids  citric acid  yeast  onion powder  paprika (for color and spice)  lime juice powder  acacia gu,,28 g (21 CHIPS  /  ABOUT),28,-0.2066529411438092,en:e330,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.23799403803366803,3 57,0,0,53.57,-0.044624620602479126,3 6,-0.26782924099093386,1.7137858102382078,-0.06112733102198176,0,0 0086,0,0 00129,,False,0,0,0,0,0,0,1,0
3009,'41498209087,https://world-fr.openfoodfacts.org/produit/0041498209087,Kettle Chips,Clancy's   Aldi-Benner Company,clancy-s aldi-benner-company,,,United-States,Potatoes  sunflower oil and/or corn maltodextrin  sea salt  lactose  sugar  sodium diacetate  malt vinegar  citric acid  malic acid  modified cornstarch.,en:milk,28 g (12 CHIPS),28,0.8459087285190557,en:e262 en:e262ii en:e296 en:e330,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,500,0.6607355958207651,0.048353569429376575,1 79,0,0,60.71,-0.044624565421129636,3 6,0.07259082230160566,2.1165227597530123,-0.0548864454754691,0,0 0214,0 071,0 00129,,False,0,0,0,0,0,0,1,0
3013,'41498216207,https://world-fr.openfoodfacts.org/produit/0041498216207,Spicy Kettle Chips,Clancy's,clancy-s,,,United-States,Potatoes  vegetable oil (contains one or more of the following: cottonseed oil  corn oil)  seasoning (maltodextrin  sugar  cayenne pepper sauce powder (aged red pepper  vinegar  salt  garlic)  salt  spices  garlic powder  honey  citric acid  natural flavo,,28 g (12 CHIPS  /  ABOUT),28,-0.2066529411438092,en:e330,,,,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.23799403803366803,7 14,0,0,53.57,-0.044624565421129636,3 6,0.07259082230160566,1.3147779065522442,-0.06731043059121189,0 0002142,0 0214,0,0 00129,,False,0,0,0,0,0,0,1,0
3014,'41498216290,https://world-fr.openfoodfacts.org/produit/0041498216290,Kettle Chips  Margarita,Clancy's   Aldi-Benner Company,clancy-s aldi-benner-company,,,United-States,Potatoes  vegetable oil (corn  and/or sunflower)  sugar  corn syrup solids  maltodextrin  natural flavors  salt  lime juice solids  citric acid  lactic acid  natural extractives of lime  calcium lactate.,,28 g (12 CHIPS),28,0.8459087285190557,en:e270 en:e327 en:e330,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,500,0.6607355958207651,0.048353569429376575,1 79,0,0,64.29,-0.044624565421129636,3 6,0.07259082230160566,-0.40151543617172564,-0.07245338256935659,0,0 0214,0 071,0 00129,,False,0,0,0,0,0,0,1,0
3026,'41498285128,https://world-fr.openfoodfacts.org/produit/0041498285128,Chips,Kettle   Aldi-Benner Company,kettle aldi-benner-company,,,United-States,Potatoes  vegetable oil (corn  and/or sunflower  and/or canola)  honey powder (refinery syrup  honey)  dijon mustard powder (maltodextrin  distilled vinegar  mustard seed  salt white wine  modified food starch  citric acid  tartaric acid  spices)  salt  o,en:mustard,28 g (13 CHIPS),28,0.3196278936876233,en:e330 en:e334,,,,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,500,0.6607355958207651,0.048353569429376575,1 79,0,0,60.71,-0.044624565421129636,3 6,0.07259082230160566,-0.40151543617172564,-0.07245338256935659,0,0 0214,0,0 00129,,False,0,0,0,0,0,0,1,0
3038,'41632003212,https://world-fr.openfoodfacts.org/produit/0041632003212,Potato Chips  Dill Pickle,Husman's,husman-s,,,United-States,Potatoes  vegetable oil (corn oil and/or sunflower oil)  seasoning (salt  lactose  sodium diacetate  whey powder  ground dill seed and spice  monosodium glutamate  citric acid  corn syrup solids  onion powder  garlic powder  extractives of dill).,en:milk,28 g (1 oz),28,0.8459087285190557,en:e262 en:e262ii en:e330 en:e621,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-to-be-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,,,,,,,,,,536,0.8348456757436719,0.3328142723358138,5 36,0,0,46.43,-0.044624620602479126,3 6,0.07259082230160566,-0.3688862851693688,-0.02189065244714756,0,0 0129,0,0 00129,,False,0,0,0,0,0,0,1,0
3065,'41660002195,https://world-fr.openfoodfacts.org/produit/0041660002195,Cains  Sugar Free Sweet B&B Chips,M. A. Gedney Co.,m-a-gedney-co,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  distilled vinegar  salt  mustard seed  dehydrated onion  celery seed  sucralose  calcium chloride  oleoresin turmeric  polysorbate 80  natural spice flavors.,en:mustard,1 ONZ (28 g),28,0.3196278936876233,en:e433 en:e955,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,M. A. Gedney Company,en:salted-snacks,,,,,,,,18,-1.664959975069983,-0.6156536735828484,,,,3.57,-0.044624620602479126,,-0.6082493042834733,-0.40107499768800425,-0.0717708710266496,,,,,,False,0,0,0,1,0,0,1,0
3066,'41660002201,https://world-fr.openfoodfacts.org/produit/0041660002201,Cains  Reduced Sodium Hamburger Chips,Gedney Foods Company,gedney-foods-company,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  distilled vinegar  salt  calcium chloride  alum  natural spice flavors  polysorbate 80 and yellow 5.,,1 ONZ (28 g),28,0.3196278936876233,en:e102 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,M. A. Gedney Company,en:salted-snacks,,,,,,,,18,-1.664959975069983,-0.6156536735828484,,,,3.57,-0.044624620602479126,,-0.6082493042834733,-0.3774748356019352,-0.03519962752993373,,,,,,False,0,0,0,1,0,0,1,0
3067,'41660204001,https://world-fr.openfoodfacts.org/produit/0041660204001,Cains  Hamburger Dill Chips,Gedney Foods Co.,gedney-foods-co,Salted snacks,en:salted-snacks,United-States,Cucumbers  water  distilled vinegar  salt  1/10th of 1% sodium benzoate  polysorbate 80  natural spice flavors  yellow 5  garlic.,,1 ONZ (28 g),28,0.8459087285190557,en:e102 en:e211 en:e433,,,4.0,unknown,en:to-be-completed  en:nutrition-facts-completed  en:ingredients-completed  en:expiration-date-to-be-completed  en:packaging-code-to-be-completed  en:characteristics-to-be-completed  en:categories-completed  en:brands-completed  en:packaging-to-be-completed  en:quantity-to-be-completed  en:product-name-completed  en:photos-to-be-uploaded,M. A. Gedney Company,en:salted-snacks,,,,,,,,18,-1.664959975069983,-0.6156536735828484,,,,3.57,-0.044624620602479126,,-0.6082493042834733,0.09577631515665784,-0.014894909134400978,,,,,,False,0,0,0,1,0,0,1,0
