barcode,product_name,brands,pnns_groups_1,nutriscore_grade,additives_n,fat_100g,proteins_100g,salt_100g,sodium_100g,sugars_100g,energy_100g,carbohydrates_100g,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,url_openfoodfact,pred_log_reg,pred_tree,pred_rand_for,pred_ada_boost,pred_grad_boost,pred_xg_boost,pred_log_reg_descr,pred_tree_descr,pred_rand_for_descr,pred_ada_boost_descr,pred_grad_boost_descr,pred_xg_boost_descr,nutri_descr
'3168930009207,Chips tortilla goet sweet chilli pepper,Doritos,Salty snacks,D,2,26.0,7.1,2.0,0.8,3.0,2107.0,59.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930009207,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930009191,Doritos nacho,Doritos,Salty snacks,C,5,27.0,7.1,1.1,0.44,2.4,2125.0,59.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930009191,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3497911105127,Chips saveur Sel & Vinaigre,Bret's Brets,Salty snacks,C,2,31.0,6.0,1.4,0.56,2.0,2190.0,53.0,0,0,https://world-fr.openfoodfacts.org/produit/3497911105127,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990155972,Classic paprika,Pringles,Salty snacks,D,7,31.0,5.0,1.4,0.56,3.2,2101.0,56.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990155972,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990155941,Pringles Hot & Spicy,Pringles,Salty snacks,D,10,32.0,4.7,1.4,0.56,2.7,2222.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990155941,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990119028,Tuiles Pringles Paprika,Pringles,Salty snacks,D,7,31.0,4.7,1.6,0.64,3.3,2101.0,51.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990119028,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930008132,Chips saveur poulet reti,Lay's  Lays,Salty snacks,C,1,32.0,6.4,1.5,0.6,2.2,2221.0,52.0,0,1,https://world-fr.openfoodfacts.org/produit/3168930008132,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990107339,Tuiles Pringles Original,PRINGLES  PRINGLES ORIGINAL,Salty snacks,D,2,32.5,4.0,1.35,0.54,1.25,2153.0,50.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990107339,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990127740,Sour cream & onion,Pringles,Salty snacks,D,8,32.0,4.6,1.4,0.56,2.4,2237.0,56.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990127740,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990139552,Klassischer Paprika,Pringles,Salty snacks,D,1,31.0,4.7,1.6,0.64,3.3,2101.0,51.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990139552,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990118977,Tuiles Pringles Hot Spicy,Pringles,Salty snacks,D,10,32.0,4.7,1.4,0.56,2.7,2222.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990118977,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5060042641406,Sea salt & cider vinegar,Tyrell's,Salty snacks,D,1,25.9,6.3,1.8,0.72,1.7,2042.0,56.0,0,0,https://world-fr.openfoodfacts.org/produit/5060042641406,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'7622210652461,Croustilles,Belin,Salty snacks,D,3,33.0,7.3,1.5,0.6,5.9,2272.0,54.0,1,0,https://world-fr.openfoodfacts.org/produit/7622210652461,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930008064,Lay's saveur barbecue format familial,Lay's Pepsico  Lays,Salty snacks,C,4,32.0,6.4,1.3,0.52,2.8,2221.0,52.0,0,1,https://world-fr.openfoodfacts.org/produit/3168930008064,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'8410076481764,Tortilla chips chili,Old El Paso General Mills,Salty snacks,C,2,25.9,6.4,0.79,0.316,1.7,2064.0,56.5,0,0,https://world-fr.openfoodfacts.org/produit/8410076481764,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3229820797274,L'apero bio,Bjorg,Salty snacks,A,1,9.8,9.9,1.0,0.4,2.2,1749.0,69.0,0,0,https://world-fr.openfoodfacts.org/produit/3229820797274,,,,,,,,,,,,,Très bonne qualité nutritionnelle
'5053990139545,Pringles Hot & Spicy,Pringles,Salty snacks,C,7,29.0,6.9,1.2,0.48,2.8,2222.0,55.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990139545,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990149971,Rice fusion indian chicken tikka masala,Pringles,Salty snacks,D,6,27.0,4.5,1.6,0.64,3.2,2032.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990149971,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990123742,Tuiles Pringles Original,Pringles,Composite foods,C,2,33.0,4.3,1.1,0.44,1.2,2252.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990123742,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3168930010418,Plaisir Brut Tuiles aux cereales competes goet paprika,Sunbreaks,Salty snacks,C,2,21.0,7.3,0.6,0.24,10.0,2011.0,62.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930010418,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3560070240258,Dipster Original,Carrefour,Salty snacks,C,1,26.0,4.4,1.2,0.48,4.1,2116.0,62.0,0,1,https://world-fr.openfoodfacts.org/produit/3560070240258,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3564700542743,Tuiles goet nature,Tokapi Marque Rep?re,Salty snacks,D,2,29.0,3.8,1.3,0.52,1.7,2176.0,60.0,0,1,https://world-fr.openfoodfacts.org/produit/3564700542743,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930009214,Doritos goet barbecue style,Doritos,Salty snacks,D,2,26.0,6.6,1.8,0.72,3.4,2097.0,59.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930009214,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'4003586103963,Linsen Chips Paprika,funny-frisch,Composite foods,D,1,19.0,13.0,2.1,0.84,4.2,1950.0,59.0,0,0,https://world-fr.openfoodfacts.org/produit/4003586103963,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930008170,Doritos Goet Nacho Cheese,Doritos,Salty snacks,C,4,27.0,7.1,1.1,0.44,2.4,2125.0,59.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930008170,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3168930008163,Lay's saveur fromage,Lay's  Lays,Composite foods,D,2,32.0,6.2,1.9,0.76,3.0,2214.0,52.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930008163,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990101573,Pringles Original,pringles,Salty snacks,D,1,33.0,3.8,1.4,0.56,1.4,2159.0,51.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990101573,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3564700542774,Tuiles creme oignon,Tokapi Marque Rep?re,Salty snacks,D,5,30.0,4.0,1.2,0.48,3.1,2201.0,59.0,0,1,https://world-fr.openfoodfacts.org/produit/3564700542774,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930008422,Lay's saveur sel & vinaigre,Lay's  Lays,Salty snacks,D,3,32.0,5.8,1.8,0.72,0.9,2221.0,53.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930008422,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'7610095231505,Vaya Bean Salt Snack,Zweifel,Fruits and vegetables,D,1,13.0,17.0,1.7,0.68,1.3,1779.0,57.0,0,0,https://world-fr.openfoodfacts.org/produit/7610095231505,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930160410,Lay's Cuites au four saveur fines herbes,Lay's Lays,Salty snacks,C,4,13.0,6.1,1.3,0.52,6.8,1833.0,71.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930160410,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990149452,Rice Japanese BBQ Teriyaki  Crisps ,Rice Fusion Pringles,Salty snacks,D,7,27.0,4.5,1.6,0.64,4.2,2031.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990149452,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3245550078704,Snack poppe saveur paprika,TooGood,Salty snacks,C,3,9.8,19.2,1.67,0.668,6.3,1713.0,56.4,0,0,https://world-fr.openfoodfacts.org/produit/3245550078704,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3560070984206,Chips e la crevette,Carrefour,Salty snacks,D,1,34.0,0.7,1.9,0.76,7.9,2309.0,61.0,0,0,https://world-fr.openfoodfacts.org/produit/3560070984206,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990149513,Rice fusion,Pringles,Salty snacks,D,5,27.0,4.5,1.6,0.64,4.3,2031.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990149513,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3270160744824,2 dos de cabillaud faeon fish and chips,Picard,Composite foods,A,3,7.0,14.0,0.87,0.348,1.5,640.0,7.5,0,0,https://world-fr.openfoodfacts.org/produit/3270160744824,,,,,,,,,,,,,Très bonne qualité nutritionnelle
'3256221498240,Tuiles goet creme et oignon,U,Salty snacks,C,1,25.0,3.6,1.3,0.52,3.5,2013.0,59.0,0,1,https://world-fr.openfoodfacts.org/produit/3256221498240,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990119370,Tuiles Pringles Pizza,Pringles,Salty snacks,D,8,31.0,4.2,1.5,0.6,3.1,2118.0,52.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990119370,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990156061,Chips Pringles Original,Pringles,Salty snacks,C,2,33.0,4.3,1.1,0.44,1.2,2252.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990156061,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3250390831464,Tuiles goet sale,Bouton d'or,Salty snacks,C,1,26.6,3.8,1.02,0.408,4.7,2115.0,60.5,0,1,https://world-fr.openfoodfacts.org/produit/3250390831464,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'10600425,Chips lightly sea salted,Tyrrels,Salty snacks,C,1,27.2,5.2,0.8,0.32,0.6,2042.0,51.8,0,0,https://world-fr.openfoodfacts.org/produit/10600425,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3168930008125,Chips Saveur Spicy,Lay's  Lays,Salty snacks,C,2,28.0,6.3,0.78,0.312,3.6,2233.0,54.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930008125,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3560070242788,Dipster,Carrefour CMI (Carrefour Marchandises Internationales) Groupe Carrefour,Salty snacks,C,1,25.0,4.2,1.3,0.52,5.7,2077.0,62.0,0,1,https://world-fr.openfoodfacts.org/produit/3560070242788,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'8710398502919,Chips Stax original,Lay's,Salty snacks,C,1,27.0,4.3,1.4,0.56,3.7,2176.0,63.0,0,1,https://world-fr.openfoodfacts.org/produit/8710398502919,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3256221498462,Tuile goet sale,U,Salty snacks,D,1,26.0,4.3,1.4,0.56,3.9,2088.0,60.0,0,1,https://world-fr.openfoodfacts.org/produit/3256221498462,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930005803,Chips saveur poulet reti,Lay's,Salty snacks,C,1,32.0,6.3,1.4,0.56,1.3,2226.0,53.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930005803,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3560070254699,Dipster,Carrefour,Salty snacks,C,1,25.0,4.3,1.3,0.52,4.3,2076.0,62.0,0,1,https://world-fr.openfoodfacts.org/produit/3560070254699,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3609200007276,Rice crackers,N.A! Nature Addicts nature addictd,Salty snacks,D,1,7.0,6.6,1.0,0.4,5.1,1761.0,82.0,0,0,https://world-fr.openfoodfacts.org/produit/3609200007276,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930160472,Lay's 100% Bio saveur tomates e la proveneale,Lay's  Lays,Salty snacks,C,2,23.0,5.3,1.2,0.48,1.6,1957.0,56.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930160472,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990156122,Pringles ORG Original,Pringles,Salty snacks,C,2,33.0,4.3,1.1,0.44,1.2,2252.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990156122,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'20550196,Tuiles Goet Paprika,Crusti Croc Snack Day,Salty snacks,D,1,25.0,4.1,1.5,0.6,6.3,2079.0,62.0,0,1,https://world-fr.openfoodfacts.org/produit/20550196,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990127672,Pringles Paprika,Pringles,Salty snacks,D,7,31.0,4.7,1.8,0.72,4.0,2096.0,51.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990127672,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930001782,3D's Bugles  Goet Fromage (Format Familial),B?n?nuts PepsiCo B?n?nuts 3D's Bugles,Salty snacks,D,5,32.0,5.5,1.98,0.792,4.0,2240.0,56.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930001782,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'7622210610645,Chips souffles,Belin,Salty snacks,,3,16.0,5.7,1.5,0.6,7.2,1866.0,67.0,0,0,https://world-fr.openfoodfacts.org/produit/7622210610645,D,C,C,D,C,C,Mauvaise qualité nutritionnelle,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,Mauvaise qualité nutritionnelle,Qualité nutritionnelle moyenne,Qualité nutritionnelle moyenne,
'5053990155385,Chips Pringles Sour Cream & Onion,Pringles,Salty snacks,D,8,32.0,4.6,1.4,0.56,2.4,2237.0,56.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990155385,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990119325,Tuiles Pringles Emmental,Pringles,Salty snacks,D,8,32.0,4.5,1.7,0.68,4.2,2122.0,51.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990119325,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930009887,Doritos Sweet chilli pepper maxi format,Doritos,Salty snacks,D,6,26.0,7.1,2.0,0.8,3.0,2107.0,59.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930009887,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3256221498417,Tuiles goet paprika,U,Salty snacks,C,6,28.0,5.0,1.5,0.6,4.5,2208.0,62.0,0,1,https://world-fr.openfoodfacts.org/produit/3256221498417,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990101597,Pringles Sour Cream & Onion,Pringles,Salty snacks,D,8,32.0,4.6,1.4,0.56,2.4,2243.0,56.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990101597,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990119172,Pringles Smokey Bacon,Pringles,Salty snacks,D,4,31.0,4.9,1.5,0.6,2.6,2114.0,51.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990119172,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'20550202,Chips Tuiles goet ORIGINAL,Snack Dau,Salty snacks,C,1,25.9,4.5,1.4,0.56,4.5,2105.0,61.0,0,1,https://world-fr.openfoodfacts.org/produit/20550202,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3168930005858,Lay's saveur barbecue 27 5 g,Lay's  Lays,Salty snacks,C,4,32.0,6.4,1.3,0.52,2.8,2221.0,52.0,0,1,https://world-fr.openfoodfacts.org/produit/3168930005858,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3456300004328,Chips de lentilles aux petits oignons,Jardin BIO,Salty snacks,A,1,8.9,11.0,1.0,0.4,1.1,1733.0,69.0,0,0,https://world-fr.openfoodfacts.org/produit/3456300004328,,,,,,,,,,,,,Très bonne qualité nutritionnelle
'5053990107384,Sour Cream & Onion,Pringles,Salty snacks,D,2,32.0,3.9,1.5,0.6,3.1,2130.0,52.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990107384,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'4003586103970,Linsen Chips Sour Cream Style,funny-frisch,Composite foods,D,1,18.0,13.0,2.1,0.84,5.4,1930.0,60.0,0,0,https://world-fr.openfoodfacts.org/produit/4003586103970,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'26022765,Hawae Melange - Morceaux de mangues deshydratees  sucrees,Trader Joe's Aldi,Fruits and vegetables,D,2,70.0,4.0,0.06,0.024,6.0,1933.0,6.2,0,0,https://world-fr.openfoodfacts.org/produit/26022765,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3564700016862,Petales e la crevette,Tokapi Marque Rep?re,Salty snacks,D,1,31.3,2.1,1.9,0.76,7.0,2233.0,60.3,0,0,https://world-fr.openfoodfacts.org/produit/3564700016862,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'20550219,Saveur Sour Cream & Onion,Crusti Croc,Salty snacks,C,2,27.0,4.6,1.2,0.48,5.4,2142.0,60.6,0,1,https://world-fr.openfoodfacts.org/produit/20550219,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990155415,Pringles SCO Sour Cream & Onion 200,Pringles,Salty snacks,D,8,32.0,4.6,1.4,0.56,2.4,2237.0,56.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990155415,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3564700542750,Tuiles goet paprika,Tokapi Marque Rep?re,Salty snacks,C,2,30.0,4.0,1.1,0.44,3.2,2199.0,59.0,0,1,https://world-fr.openfoodfacts.org/produit/3564700542750,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990138661,Texas BBQ Sauce,Pringles,Composite foods,D,8,31.0,4.2,1.7,0.68,4.6,2106.0,52.0,0,1,https://world-fr.openfoodfacts.org/produit/5053990138661,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930000105,Chips saveur barbecue,lay's  lai's  Lays,Salty snacks,C,4,32.0,6.4,1.3,0.52,2.8,2221.0,52.0,0,1,https://world-fr.openfoodfacts.org/produit/3168930000105,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3250390506980,Biscuits aperitif saveur paprika,Bouton d'Or,Salty snacks,C,1,24.8,4.0,1.25,0.5,6.3,2058.0,60.0,0,1,https://world-fr.openfoodfacts.org/produit/3250390506980,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3497917000792,La chips de legumes,Bret s Bret's,Salty snacks,C,1,32.0,5.5,0.62,0.248,21.2,2138.0,43.9,0,0,https://world-fr.openfoodfacts.org/produit/3497917000792,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'5053990127641,Pringles Cheese & onion,Pringles,Salty snacks,D,7,31.0,3.8,1.775,0.71,2.8,2201.0,52.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990127641,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'5053990156153,Pringles SPR Sweet Paprika,Pringles,Salty snacks,D,7,31.0,4.7,1.6,0.64,3.3,2101.0,51.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990156153,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3599741004660,Colin d'Alaska faeon Fish and chips saveur Salt & Vinegar,Findus,Composite foods,B,2,10.0,11.0,0.77,0.308,0.5,900.0,20.0,0,0,https://world-fr.openfoodfacts.org/produit/3599741004660,,,,,,,,,,,,,Bonne qualité nutritionnelle
'5053990107292,Tuiles Pringles Hot & Spicy,Pringles,Salty snacks,D,10,32.0,4.7,1.4,0.56,2.7,2222.0,55.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990107292,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'8480000333353,Sabor serrano,Hacendado,Salty snacks,D,2,35.0,6.5,1.7,0.68,1.0,2254.0,49.0,0,0,https://world-fr.openfoodfacts.org/produit/8480000333353,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'26035352,Tuiles salees,Pirato,Salty snacks,D,1,27.0,4.2,1.3,0.52,6.4,2076.0,62.0,0,1,https://world-fr.openfoodfacts.org/produit/26035352,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930009238,Tortilla Chips Goet Paprika,Doritos,Salty snacks,D,4,25.0,6.2,2.0,0.8,4.4,2095.0,58.0,0,0,https://world-fr.openfoodfacts.org/produit/3168930009238,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'8480000366351,Nachos padrosimos,Hacendado,Salty snacks,D,5,23.0,6.7,1.0,0.4,1.6,2086.0,64.0,0,0,https://world-fr.openfoodfacts.org/produit/8480000366351,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3596710324385,Tuiles saveur creme oignon,Auchan,Salty snacks,D,3,25.0,4.2,1.3,0.52,6.4,2075.0,62.0,0,0,https://world-fr.openfoodfacts.org/produit/3596710324385,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3336971803034,La Gourmande au sel de Guerande,vico,Salty snacks,D,2,27.0,4.2,1.46,0.584,2.8,2144.0,61.0,0,1,https://world-fr.openfoodfacts.org/produit/3336971803034,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3250391505357,Chips e la crevette,Bouton d'Or,Salty snacks,E,1,27.6,1.2,2.47,0.988,7.5,2243.0,65.0,0,0,https://world-fr.openfoodfacts.org/produit/3250391505357,,,,,,,,,,,,,Très mauvaise qualité nutritionnelle
'5053990107308,Sweet Paprika Perfect Flavour,Pringles,Salty snacks,D,7,31.0,4.7,2.1,0.84,3.1,2105.0,52.0,0,2,https://world-fr.openfoodfacts.org/produit/5053990107308,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'3168930155904,Lays max bbq,Lay's Lays,Salty snacks,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,https://world-fr.openfoodfacts.org/produit/3168930155904,,,,,,,,,,,,,Très bonne qualité nutritionnelle
'4003586106780,Kichererbsen Chips,Funny-frisch,Salty snacks,D,1,16.0,12.0,1.6,0.64,5.2,1865.0,60.0,0,0,https://world-fr.openfoodfacts.org/produit/4003586106780,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'8480000336019,Tiras fritas,HACENDADO,Salty snacks,C,3,31.0,7.0,1.3,0.52,0.8,2250.0,55.0,0,0,https://world-fr.openfoodfacts.org/produit/8480000336019,,,,,,,,,,,,,Qualité nutritionnelle moyenne
'3250391892525,Chips e la crevettes,Itin?raire des Saveurs,Salty snacks,D,1,27.6,1.2,2.47,0.988,7.5,2109.0,65.0,0,0,https://world-fr.openfoodfacts.org/produit/3250391892525,,,,,,,,,,,,,Mauvaise qualité nutritionnelle
'7610095013002,Paprika original chips,Zweifel,Salty snacks,C,1,34.0,6.0,1.18,0.472,9.0,2270.0,51.0,0,0,https://world-fr.openfoodfacts.org/produit/7610095013002,,,,,,,,,,,,,Qualité nutritionnelle moyenne
